User,Unauthorized Privilege Escalation,Toxic Privileges,SoD Violation,Conflicting Roles
User3115,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3114,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3157,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3109,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4832,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3108,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3098,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3101,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3095,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3094,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4877,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3093,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4587,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3090,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3087,Yes,finance:AuditTransactions,No,
User3084,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3940,Yes,finance:AuditTransactions,No,
User3080,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3083,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3075,Yes,finance:AuditTransactions,No,
User3074,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4862,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3904,Yes,finance:AuditTransactions,No,
User3063,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3060,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3057,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4294,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4758,Yes,finance:AuditTransactions,No,
User3055,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3469,Yes,finance:AuditTransactions,No,
User3049,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3048,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3040,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3737,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3039,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3037,Yes,finance:AuditTransactions,No,
User3033,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4240,Yes,finance:AuditTransactions,No,
User3028,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User3192,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4342,Yes,finance:AuditTransactions,No,
User3631,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3006,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4387,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3208,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2998,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2996,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4324,Yes,finance:AuditTransactions,No,
User2991,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2990,Yes,finance:AuditTransactions,No,
User2988,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3279,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2987,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4938,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2979,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3119,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4859,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2969,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2964,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4273,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2963,Yes,finance:AuditTransactions,No,
User3669,Yes,finance:AuditTransactions,No,
User4499,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2957,Yes,finance:AuditTransactions,No,
User2954,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2952,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3791,Yes,finance:AuditTransactions,No,
User2931,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2929,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4044,Yes,finance:AuditTransactions,No,
User4209,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2925,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2922,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2921,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2920,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4779,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3514,Yes,finance:AuditTransactions,No,
User2912,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2910,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2909,Yes,finance:AuditTransactions,No,
User2907,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2905,Yes,finance:AuditTransactions,No,
User2900,Yes,finance:AuditTransactions,No,
User2899,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4878,Yes,finance:AuditTransactions,No,
User2898,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3657,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2897,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2896,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2891,Yes,finance:AuditTransactions,No,
User3260,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2885,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2881,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2879,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3944,Yes,finance:AuditTransactions,No,
User2877,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4981,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2876,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2873,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2871,Yes,finance:AuditTransactions,No,
User2865,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4462,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2861,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3445,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2857,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2884,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2850,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2849,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2847,Yes,finance:AuditTransactions,No,
User2842,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2839,Yes,finance:AuditTransactions,No,
User2837,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2836,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3201,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3802,Yes,finance:AuditTransactions,No,
User3431,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4059,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2818,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2813,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4668,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2809,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3698,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4983,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4477,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2804,Yes,finance:AuditTransactions,No,
User2803,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2801,Yes,finance:AuditTransactions,No,
User2800,Yes,finance:AuditTransactions,No,
User2793,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2792,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2791,Yes,finance:AuditTransactions,No,
User4757,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2787,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2785,Yes,finance:AuditTransactions,No,
User2889,Yes,finance:AuditTransactions,No,
User2782,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4246,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2770,Yes,finance:AuditTransactions,No,
User3683,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2759,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2756,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2755,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3964,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4145,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2752,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4185,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2746,Yes,finance:AuditTransactions,No,
User2745,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2740,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2739,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2738,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2736,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4861,Yes,finance:AuditTransactions,No,
User4242,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2728,Yes,finance:AuditTransactions,No,
User4848,Yes,finance:AuditTransactions,No,
User2726,Yes,finance:AuditTransactions,No,
User2720,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2719,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2717,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2716,Yes,finance:AuditTransactions,No,
User2712,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2834,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2709,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3066,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3730,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4903,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4497,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2700,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2695,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3407,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2690,Yes,finance:AuditTransactions,No,
User2687,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2684,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2682,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3502,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3800,Yes,finance:AuditTransactions,No,
User2670,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4784,Yes,finance:AuditTransactions,No,
User3497,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3814,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2662,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2661,Yes,finance:AuditTransactions,No,
User2660,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2999,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2654,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2653,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2652,Yes,finance:AuditTransactions,No,
User4048,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2645,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3758,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2644,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4818,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2631,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2628,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2625,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2714,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2618,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2617,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3934,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2615,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3211,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2614,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2587,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4175,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2585,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2584,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2583,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2582,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2580,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3375,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2576,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4904,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4573,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2569,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3417,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2561,Yes,finance:AuditTransactions,No,
User4699,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2554,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2550,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2549,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3899,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3772,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2545,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2541,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2536,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2532,Yes,finance:AuditTransactions,No,
User2530,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4906,Yes,finance:AuditTransactions,No,
User3411,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2526,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2522,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4510,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2520,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2516,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3778,Yes,finance:AuditTransactions,No,
User2515,Yes,finance:AuditTransactions,No,
User2940,Yes,finance:AuditTransactions,No,
User4725,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2508,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2506,Yes,finance:AuditTransactions,No,
User3694,Yes,finance:AuditTransactions,No,
User2505,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2504,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3565,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3207,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4085,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2498,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2495,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2492,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2491,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3456,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3193,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2489,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3112,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2484,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2483,Yes,finance:AuditTransactions,No,
User2482,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2481,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2480,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4043,Yes,finance:AuditTransactions,No,
User2476,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2470,Yes,finance:AuditTransactions,No,
User2469,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2468,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2465,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2461,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2948,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3480,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User3380,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2509,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2458,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3961,Yes,finance:AuditTransactions,No,
User2456,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3714,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2451,Yes,finance:AuditTransactions,No,
User2447,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2444,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4835,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2442,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2441,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User4341,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2440,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2436,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2432,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2428,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3359,Yes,finance:AuditTransactions,No,
User2425,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4052,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2423,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2422,Yes,finance:AuditTransactions,No,
User2421,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2420,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2416,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2414,Yes,finance:AuditTransactions,No,
User2413,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3867,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2411,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2784,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2408,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3912,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User3781,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3045,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4153,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2395,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4575,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4419,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2392,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2913,Yes,finance:AuditTransactions,No,
User2384,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2381,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2378,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2374,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2373,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User4595,Yes,finance:AuditTransactions,No,
User2981,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2372,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2371,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2370,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2366,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2363,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1105,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1093,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User954,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User437,Yes,finance:AuditTransactions,No,
User1082,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3410,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1081,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4964,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1079,Yes,finance:AuditTransactions,No,
User4717,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1078,Yes,finance:AuditTransactions,No,
User4615,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User967,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1794,Yes,finance:AuditTransactions,No,
User2449,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3297,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1061,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1638,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2691,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1059,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1090,Yes,finance:AuditTransactions,No,
User906,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1054,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User2269,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User2764,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1048,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User588,Yes,hr:ManageSalaries,Yes,HR-Payroll
User231,Yes,finance:AuditTransactions,No,
User1270,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1104,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User2958,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3333,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User767,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1036,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2838,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1218,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1032,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User1975,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3035,Yes,finance:AuditTransactions,No,
User4091,Yes,finance:AuditTransactions,No,
User1029,Yes,finance:AuditTransactions,No,
User1381,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1013,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1012,Yes,finance:AuditTransactions,No,
User1120,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1006,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User999,Yes,finance:AuditTransactions,No,
User4396,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2104,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User973,Yes,hr:ManageSalaries,Yes,HR-Payroll
User971,Yes,hr:ManageSalaries,Yes,HR-Payroll
User627,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2832,Yes,finance:AuditTransactions,No,
User968,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User962,Yes,finance:AuditTransactions,No,
User3711,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User3421,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2597,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User271,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4887,Yes,finance:AuditTransactions,No,
User929,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User969,Yes,finance:AuditTransactions,No,
User3311,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3203,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1542,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User927,Yes,finance:AuditTransactions,No,
User701,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3038,Yes,finance:AuditTransactions,No,
User925,Yes,finance:AuditTransactions,No,
User923,Yes,finance:AuditTransactions,No,
User922,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4218,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User313,Yes,hr:ManageSalaries,Yes,HR-Payroll
User720,Yes,finance:AuditTransactions,No,
User2608,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User1498,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2250,Yes,finance:AuditTransactions,No,
User3337,Yes,finance:AuditTransactions,No,
User902,Yes,finance:AuditTransactions;hr:ManageSalaries,Yes,HR-Payroll
User440,Yes,hr:ManageSalaries,Yes,HR-Payroll
User890,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User889,Yes,finance:AuditTransactions,No,
User883,Yes,hr:ManageSalaries,Yes,HR-Payroll
User499,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User300,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3907,Yes,hr:ManageSalaries,Yes,HR-Payroll
User4090,Yes,finance:AuditTransactions,No,
User872,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User87,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User940,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User867,Yes,hr:ManageSalaries,Yes,HR-Payroll
User25,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2188,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User538,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1143,Yes,hr:ManageSalaries,Yes,HR-Payroll
User860,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User901,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4968,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4079,Yes,finance:AuditTransactions,No,
User1108,Yes,finance:AuditTransactions,No,
User80,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User325,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User847,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4140,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User311,Yes,finance:AuditTransactions,No,
User1281,Yes,hr:ManageSalaries,Yes,HR-Payroll
User977,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1384,Yes,finance:AuditTransactions,No,
User840,Yes,finance:AuditTransactions,No,
User4450,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User466,Yes,hr:ManageSalaries,Yes,HR-Payroll
User118,Yes,finance:AuditTransactions,No,
User830,Yes,hr:ManageSalaries,Yes,HR-Payroll
User1239,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User1350,Yes,finance:AuditTransactions,No,
User2180,Yes,finance:AuditTransactions,No,
User4382,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3452,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User264,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User817,Yes,finance:AuditTransactions,No,
User471,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User4831,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User807,Yes,finance:AuditTransactions,No,
User804,Yes,finance:AuditTransactions,No,
User2247,Yes,hr:ManageSalaries,Yes,HR-Payroll
User2519,Yes,finance:AuditTransactions,No,
User931,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User3659,Yes,finance:AuditTransactions;iam:CreateUser;iam:DetachRolePolicy,No,
User4047,Yes,hr:ManageSalaries,Yes,HR-Payroll
User898,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User789,Yes,hr:ManageSalaries,Yes,HR-Payroll
User3350,Yes,finance:AuditTransactions,Yes,Finance-Auditor
User496,Yes,iam:CreateUser;iam:DetachRolePolicy,No,
User2725,Yes,hr:ManageSalaries,Yes,HR-Payroll
